published,title,url,views
2016-10-24,Normalized Cut meets MRF,http://videolectures.net/eccv2016_tang_normalized_cut,104
2015-12-05,Compressing Neural Networks with the Hashing Trick,http://videolectures.net/icml2015_weinberger_neural_networks,103
2015-05-08,Ali bo računalnik po sposobnosti prehitel človeške možgane?,http://videolectures.net/sinapsa_repovs_mladenic_racunalnik_ali_clovek,103
2016-02-10,Webly Supervised Learning of Convolutional Networks,http://videolectures.net/iccv2015_chen_supervised_learning,103
2015-10-02,Zakaj se sodniki motijo,http://videolectures.net/okroglamizapravo2015_leskovec_sodniki,102
2016-02-10,Leave-One-Out Kernel Optimization for Shadow Detection,http://videolectures.net/iccv2015_yago_vicente_kernel_optimization,102
2015-09-27,Large-scale log-determinant computation through stochastic Chebyshev expansions,http://videolectures.net/icml2015_han_log_determinant_computation,102
2016-09-27,Towards Conversational Recommender Systems,http://videolectures.net/kdd2016_christakopoulou_recommender_systems,101
2016-05-27,Towards Universal Paraphrastic Sentence Embeddings,http://videolectures.net/iclr2016_wieting_universal_paraphrastic,100
2015-09-27,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,http://videolectures.net/icml2015_sohl_dickstein_deep_unsupervised_learning,100
2016-09-27,XGBoost: A Scalable Tree Boosting System,http://videolectures.net/kdd2016_chen_boosting_system,100
2015-12-05,High Dimensional Bayesian Optimisation and Bandits via Additive Models,http://videolectures.net/icml2015_kandasamy_additive_models,98
2016-09-09,Lifelong Machine Learning and Computer Reading the Web,http://videolectures.net/kdd2016_tutorial_lifelong_machine_learning,97
2015-07-15,Combining Statistics and Semantics to Turn Data into Knowledge,http://videolectures.net/eswc2015_getoor_turn_data,97
2016-07-28,"Wither OWL in a knowledge-graphed, Linked-Data World?",http://videolectures.net/eswc2016_hendler_wither_OWL,96
2015-07-28,Bootstrapping Skills,http://videolectures.net/rldm2015_mankowitz_bootstrapping_skills,96
2015-07-02,Automatic group happiness intensity analysis,http://videolectures.net/fgconference2015_goecke_intensity_analysis,95
2016-05-27,BlackOut: Speeding up Recurrent Neural Network Language Models With Very Large Vocabularies,http://videolectures.net/iclr2016_ji_recurrent_neural,95
2015-09-27,Learning to Search Better than Your Teacher,http://videolectures.net/icml2015_krishnamurthy_search_better,94
2015-11-10,Networks of Linked Data Eddies: An Adaptive Web Query Processing Engine for RDF Data,http://videolectures.net/iswc2015_acosta_linked_data,94
2016-03-07,Inference in kinetic Ising models: mean-field and Bayes estimators,http://videolectures.net/netadis2015_bachschmid_romano_kinetic_ising_models,94
2016-09-09,Extracting Optimal Performance From Dynamic Time Warping,http://videolectures.net/kdd2016_tutorial_optimal_performance,94
2015-03-06,Cross-lingual Global Media Monitoring,http://videolectures.net/cmuseminars_mladenic_media_monitoring,93
2016-02-10,On the Visibility of Point Clouds,http://videolectures.net/iccv2015_tal_point_clouds,93
